# Official example sentences from the New Ithkuil grammar (v1.3.1, 2023)
# by John Quijada, https://ithkuil.net/ — reproduced under the reuse terms
# of that site. Transcribed and glossed by the IthkuilTranslator project.
#
# Pipe-delimited, one example per line:
#   Section | Ithkuil | Gloss | English
#
# The Gloss column is the upstream hand-curated notation, which differs
# from what gloss.Formative emits; it is reference material, not an
# expected value.
#
# The Section column numbers ithkuil.net's chapters, not the sections of
# the Grammar Design PDF that docs/reference/morphology.md transcribes.
# The two disagree: what the PDF calls §5.6 (WH-interrogatives) is filed
# here under 10.6, and 5.6 here holds aspect examples. Of the 554
# distinct words below, 91 occur in the PDF, so most of this came from
# elsewhere on the site and cannot be checked against the document we
# hold. Cite an example as attested usage, not as a passage of the
# grammar, unless you have found it in the PDF yourself.
Section | Ithkuil | Gloss | English
3.8 | Vvralá mi wurçpi. |  | Her passion is dance / She feels passionate about dance.
3.8 | Vvralá mi urçpuli. |  | Her passion is dancing / She feels passionate about dancing.
3.8 | Tlasatřá çkava. |  | Disease is rampant there.
3.8 | Tlusatřá çkava. |  | Disease runs rampant there.
3.8 | Txasá ku. |  | They are having a meal.
3.8 | Txusá ku. |  | They are eating a meal.
3.8 | Waltlá wele lo. |  | I make the child wear a jacket.
3.8 | Altlúl wele lo. |  | I put a jacket on the child / I dress the child in a jacket.
3.8 | Malá welu wiosaḑcä espanya. |  | The child is speaking (in) Spanish.
3.8 | Mulá welu wiosaḑcä espanya. |  | The child is saying something in Spanish.
3.8 | Yeg arrlalu. |  | The cheetah is running. [focus on current state/characteristic]
3.8 | Egúd arrlalu. |  | The cheetah is running. [focus on purposeful action]
3.9.1 | Frulawá warru přelu'a. | 'parallel.translative.motion'-DYN-EXS-RTR-OBS 'cat'-STA-EXS-IND 'doorway'-STA-EXS-NAV | The cat ran past the doorway. [neutral description of physical scene only]
3.9.2 | Fruilawá rrailu pře'ilua. | 'parallel.translative.motion'-DYN-FNC-RTR-OBS 'cat'-STA-FNC-IND 'doorway'-STA-FNC-NAV | The cat ran past the doorway. [focus on personal/social meaning/significance]
3.9.3 | Frualawá rrialu při'olua. | 'parallel.translative.motion'-DYN-RPS-RTR-OBS 'cat'-STA-RPS-IND 'doorway'-STA-RPS-NAV | The cat ran past the doorway. [connotes metaphorical meaning]
3.9.4 | Froalawá rraolu přa'ölua. | 'parallel.translative.motion'-DYN-AMG-RTR-OBS 'cat'-STA-AMG-IND 'doorway'-STA-AMG-NAV | The cat ran past the doorway. [focus on emotional impact plus cultural significance]
3.10 | Yedpéi mmoi. / Edpadéi mmoi. |  | Where's the thumping sound coming from?
3.10 | Weinţdâ. / Enţdarâ. |  | I recall at least one motorcyclist going by.
4.2.12 | Etxulá | 'eat'-DYN 'child'-GID1-1-IND | The girl eats.
4.2.12 | Etxulá | 'eat'-DYN 'child'-GID1-1-IND [default CA]-'apple.tree'-EPP1-3-CSM | The girl is eating an apple.
4.2.12 | Itxulá | CPT-'eat'-DYN [default CA]-'apple.tree'-EPP1-3-CSM | An apple gets eaten. / Someone eats an apple.
4.2.12 | Enulá | 'give'-DYN 'adult'-GID1-3-ERG 'child'-GID1-1-DAT-IND-[default CA] 'apple.tree'-EPP1-3-CSM 'eat'-DYN-[default CA]-PUR | The man feeds the girl an apple.
4.2.12 | Etxulá | 'eat'-DYN 'adult'-GID1-3-EFF 'child'-GID1-1-CHC₁-9-IND-[default CA] 'apple.tree'-EPP1-3-CSM | The man gets the girl to eat an apple.
4.2.12 | Enulá | 'give'-DYN 'child'-GID1-1-DAT-IND-[default CA] 'apple.tree'-EPP1-3-CSM 'eat'-DYN-[default CA]-PUR | The girl is given an apple to eat.
4.2.12 | Etxulá | 'eat'-DYN 'child'-GID1-1-CHC₁-9-IND [default CA]-'apple.tree'-EPP1-3-CSM | The girl is/gets fed an apple.
4.2.12 | Enulá | 'give'-DYN-[default CA] 'apple.tree'-EPP1-3-CSM 'child'-GID1-1-CHC₁-2-DAT-IND 'eat'-DYN-[default CA]-PUR | An apple gets fed to the girl.
4.2.12 | Etxulá | 'eat'-DYN 'child'-GID1-1-CHC1-2-IND | The girl gets fed.
4.2.12 | Etxulá | 'eat'-DYN 'child'-GID1-1-CHC1-3-CSM | The girl gets eaten.
4.2.12 | Etxulá | 'eat'-DYN 'child'-GID1-1-IND-CSM | The girl eats herself.
4.2.12 | Etxulá | 'eat'-DYN 'child'-GID1-1-CHC1-7-CSM | The girl gets herself eaten.
4.2.12 | Etxulärzá | 'eat'-DYN-CHC1-2 | Feeding is taking place (i.e., someone is feeding someone/something else).
4.2.12 | Enulá | 'give'-DYN-CONCATENATED 'eat'-CSV-A-PUR-PARENT 'food'-OBJ-MDS-CSM | Feeding is taking place (i.e., someone is giving someone else food to eat).
4.2.12 | Aḑçulëuhá | 'jump'-DYN-RCT-OBS [default CA]-'child'-GID1-3-IND | The boy jumps (up and down).
4.2.12 | Aḑçulëuhá | 'jump'-DYN-RCT-OBS 'parent'-GID2-1-EFF-[default CA] 'child'-GID1-3-IND | Mother makes the boy jump (up and down).
4.2.12 | Aḑçulëuhá | 'jump'-DYN-RCT-OBS [default CA]-'child'-GID1-3-CHC₁-2-IND | The boy is made to jump (up and down).
4.2.12 | Yaḑçëuhá | PRX-'jump'-STA-RCT-OBS | Jumping (up and down) takes place. / There's jumping (up and down) going on.
4.2.12 | Aḑçulëuhá | 'jump'-DYN-RCT-OBS | Someone's jumping (up and down). / There's someone jumping (up and down).
4.2.12 | Aḑçulärzëuhá | 'jump'-DYN-CHC₁-2-RCT-OBS | Someone's being made to jump (up and down).
4.2.12 | Yubškirfúi | PRX-stem3/prc-'audience.member'-PTW1-4-CNJ 'sing'-DYN-ASM-INF 'adult'-GID1-1-IND | If there's an audience, the woman will sing.
4.2.12 | Yubškirfúi | PRX-stem3/prc-'audience.member'-PTW1-4-CNJ 'sing'-DYN-ASM-INF 'adult'-GID1-1-IND 'song'-THM | If there's an audience, the woman will sing a song.
4.2.12 | Yubškirfúi | PRX-stem3/prc-'audience.member'-PTW1-4-CNJ 'sing'-DYN-ASM-INF 'song'-THM | If there's an audience, a song will be sung.
4.2.12 | Yubškirfúi | PRX-stem3/prc-'audience.member'-PTW1-4-CNJ 'sing'-STA-ASM-INF | If there's an audience, there will be singing going on. / If there's an audience, someone will sing.
4.2.12 | Yubškirfúi | PRX-stem3/prc-'audience.member'-PTW1-4-CNJ 'sing'-DYN-3-BEN-ASM-INF 'adult'-GID1-1-IND | If there's an audience, the woman will sing for someone.
4.2.12 | Ellyulá | 'sing'-DYN-OBS 1M-BEN-EFF 'adult'-GID1-1-IND | I make the woman sing.
4.2.12 | Ellyulerzá | 'sing'-DYN-CHC1-3-OBS 1M-BEN-EFF 'adult'-GID1-1-IND | I get the woman to sing.
4.2.12 | Ellyalerzá | 'sing'-STA-CHC1-3-OBS-1M-BEN-EFF | I get singing to happen.
4.2.12 | Ellyulá | 'sing'-DYN-OBS 1M-BEN-EFF | I make singing occur.
4.2.13 | Yantxečmeihá aţpwato | 'chew'-DIF1-3-REP 'snail'-MSS-ERG | The snails chew easily. [meaning: It is easy for the snails to chew things.]
4.2.13 | Yantxečmeihá aţpwate | 'chew'-DIF1-3-REP 'snail'-MSS-ABS | The snails chew easily. [meaning: It is easy to chew (on) the snails.]
4.3.1 | kštala wampeicai | 'chair'-[default CA]-THM [default CA]-PARENT-GID2-3-POS | father's chair
4.3.2 | onţläla wampeicau | stem0/prc-'automobile'-CTE [default CA]-THM [default CA]-PARENT-GID2-3-PRP | father's car
4.3.3 | walţa enžtalekcei | 'pellicle'-THM 'peach.tree'-EPP1-3 | the skin of a peach
4.3.3 | walža kšilei | 'face'-THM 'clown'-GEN | the clown's face
4.3.4 | mřřala weleu | 'grief'-THM 'child'-ATT | the child's grief
4.3.4 | yuäčla kšileu | 'deviousness'-THM 'clown'-ATT | the clown's deviousness
4.3.5 | eňalţra wampacëu | 'written.composition'-ASO-MDS-G PARENT-GID1-1-PDC | mother's writings
4.3.6 | yerla kšilou | PRX-'subjective.viewpoint'-THM 'clown'-ITP | the clown's point of view
4.3.7 | ekcatra walḑoi | 'fruit'-MSS-G-THM 'tree'-OGN | the fruit of a tree
4.3.8 | wailpla endyaftioriu | G-'blood'-THM 'vein'-MDC-PRX-GEN-1M-BEN-IDP | the blood in my veins
4.3.9 | unţwäla kšiţui | 'bus'-THM 'clown'-MDS-PAR | a busload of clowns
4.4.1 | rrala udklälia | 'cat'-THM 'projectile.weapon'-CTE-APL | a cat for use as a projectile weapon
4.4.2 | skela agçiţrie | 'container/receptacle'-CSV-THM 'trash/garbage'-OBJ-MDS-G-PUR | a trashcan / a garbage bin
4.4.3 | utxala welio | 'drink'-THM 'child'-TRA | a drink for the child
4.4.4 | ujtajiö | 'tradition'-A-DFR | out of respect for tradition
4.4.5 | Wat alcmar afdareë | [default CA]-'be.what.is.under.discussion'-PRX-OBS 'sugar'-G-THM 'salt'-G-CRS | It's sugar, not salt
4.4.6 | Xpulá kšilo waigvbre waiňnuö | 'act.of.substitution'-DYN-OBS 'clown'-ERG-G 'methane'-ABS 'oxygen'-G-TSP | The clown is substituting methane for oxygen
4.4.7 | Weščayá ampasu hakšilaölwie-addyabzëuttuo welio | 'pay.money'-RTR-OBS-PARENT-DPX-IND-CONCATENATED 'clown'-TFM-PUR-PARENT 'teacher' 'student.complementary.interaction'-FEA2-5-MSS-CMM 'child'-TRA | The parents paid for the child's clown lessons
4.4.8 | Amsävá wialcma afdavue | 'taste.sweet'-CTE-N-OBS N-'sugar'-THM 'salt'-N-CMP | Sugar is sweet compared to salt
4.4.9 | eddyulua | stem2/prc-'teach'-OBJ-[default CA]-CSD | according to the teacher
4.5.1 | Wamá kšilu wiamfmavügao | 'speak'-OBS 'clown'-OBJ-IND 'act.of.assurance'-N-EXN1-8-FUN | The clown speaks most assuredly
4.5.2 | Weščayá ampasu hakšilaölwie-addyëubzattuo welio | 'pay.money'-RTR-OBS-PARENT-DPX-IND-CONCATENATED 'clown'-TFM-PUR-PARENT 'teacher' 'student.complementary.interaction'-FEA2-5-MSS-TSP 'child'-TRA | The parents paid for the child's clown lessons
4.5.3 | wajneo | 'length.of.object'-CLA | lengthwise
4.5.3 | Erčuläyá kšivo weleo | 'corrupt'-DYN-PRS-OBS 'clown'-N-ERG 'child'-CLA | The clowns will corrupt child after child
4.5.4 | wadpweö | 'act.of.blackmail'-RSL | resulting in (an act of) blackmail
4.5.5 | Elkswuvá wampacu aţmwaroë | 'cook.seafood'-DYN-N-OBS-PARENT-GID1-1-IND-G 'wine'-CSM | Mother cooks seafood with wine
4.5.6 | wardplitöe | 'act.of.embezzlement'-DCD1-4-CON | in spite of that (act of) embezzlement
4.5.7 | Wiamftrá ru avtyävairxoe | N-'engage.in.drinking.contest'-OBS 1M-DET-IND 'state.of.chemical.intoxication'-N-SIM2-1-AVR | I engage in drinking contests out of fear of sobriety
4.5.8 | Wašḑayá cwe warröa | 'remove'-RTR-OBS-MX-NEU-A-ABS 'cat'-CVS | Everything was removed except the cat
4.5.9 | Wekská weli kšiloa | 'feel.anger'-OBS 'child'-AFF 'clown'-SIT | The child is angry because of the clown
4.6.1 | ellyila engla'ra | 'singing'-OBJ-THM 'bivalve'-G | a song about some shellfish
4.6.1 | Malihái alxla'va | 'talk'-RCP-DIR 'science'-N-PRN | Let's discuss science
4.6.2 | wala yačpä'ä | 'person'-THM-PRX 'being.stupid' | a stupid person
4.6.2 | aţkläl uçfa'dä | 'place'-CTE-THM 'peaceableness'-PRX-DSP | a peaceful place
4.6.3 | eţir iolca'le | 'entity.situated.in.a.particular.direction'-G-THM-DCD1-4 'road' | objects lying in the direction of the road
4.6.3 | emževa lya'je | 'sexual.relations'-CSV-N-THM 'work.of.art'-A-COR | sex in art
4.6.4 | aňļir atļmä'vi | 'existent.thing'-G-THM 'plastic'-CTE-N-CPS | things made of plastic
4.6.5 | waleca amtri'lëi | 'person'-GID1-3-THM 'hat'-OBJ-COM | a man with a hat
4.6.6 | waleca amtri'lö | 'person'-GID1-3-THM 'hat'-OBJ-UTL | a man wearing a hat
4.6.7 | aẓtaţra usla'vo | 'law'-MDS-G-THM 'reasoning'-N-PRD | laws based in reason
4.6.8 | kšila erḑmezwo'ivvu | 'clown'-THM 'act.of.cheating'-CSV-ACCESSOR2-ERG-N-RLT | a clown who cheats
4.7.1 | Amskadwû kšivöla'i wiorkwa | 'necessity'-PRX-N-ITU 'clown'-N-CTR1-6-ACT-N 'filial.love'-THM | I think even clowns need love
4.7.2 | Malá su wela'u | 'talk'-OBS 2M-NEU-IND 'child'-ASI | You talk like a child (even though you are not a child)
4.7.3 | Malá su wele'i | 'talk'-OBS 2M-NEU-IND 'child'-ESS | You talk like a child (because you are one)
4.7.4 | Pţradá kro wailve'u | 'hunt'-PRX-OBS 3P-BEN-1M-BEN-ERG-G 'deer'-G-TRM | We're hunting deer
4.7.5 | walazë'u | 'person'-XX31-1-SEL | every third person
4.7.6 | Uẓtavo'u arzälalžóu sa'i | 'applicability.of.law'-N-CFM 'obey'-OBG1-1-ADM 2M-NEU-ACT | Under the law you must obey
4.7.7 | Watkwäyû welu weppļi'a kšilütřacko'i | 'attendance.at.event'-PRS-ITU 'child'-IND 'party'-LOC 'clown'-DX11-8-DPC1-1-DEP | The child will probably only come to the party if there's a clown there
4.7.8 | Kši'lui! | 'clown'-VOC | Hey, clown!
4.8.1 | epřeli'a | 'entryway'-CSV-LOC | at the entrance
4.8.2 | Ẓalá li welenëi máli'hu thi'e kširu. | 'see'-OBS 1M-NEU-IND 'child'-G-IND 'talk'-PRX-OBS 'clown'-MDS-COR 'child'-ATD | I see the child who is talking with the clowns.
4.8.3 | wajli'a | 'mountain'-ALL | to(ward) the mountain
4.8.4 | Weru'i gulái onţläli'ö kši've! | 'child'-G-VOC 'ambulate'-DYN-DIR 'automobile'-CTE-ABL 'clown'-N-COR | Children walk away from the clown car!
4.8.5 | Gavó wioḑpu ustyale'ë | 'ambulate'-N-ASR-CVN N-'crab'-IND 'flank/side'-ORI | They say crabs walk sideways
4.8.6 | Arveléi iträlu'ö kši'ţe? | 'amount.of.elapsed.time'-CSV-IRG CPT-'process.of.approaching'-CTE-IRL 'clown'-MDS-COR | How long has it been since the clowns' arrival? [focus on the temporal relationship between the elapsed period of time and the point in time when the clowns arrived; compare this example to the one immediately below]
4.8.7 | Arveléi iträlu'o kši'ţe? | 'amount.of.elapsed.time'-CSV-IRG CPT-'process.of.approaching'-CTE-INV 'clown'-MDS-COR | How long has it been since the clowns' arrival? [focus on the juxtaposition between one temporal context and another adjacent to it]
4.8.8 | Tralá elařţru hakšiţé-alcialu'a | 'translative.motion'-OBS 'child'-VAR-MDS-G-IND CONCATENATED 'clown'-MDS-COR PARENT-'path'-RPS-NAV | The children follow the way of the clowns
4.9.1 | ujthäda'o | 'war'-CTE-PRX-CNR | during a war/during wartime
4.9.1 | wucpirwa'o | 'sixth'-SPT1-4-CNR | on Saturday
4.9.2 | elesa kšila'ö | 'child'-DPX-THM 'clown'-ASS | a pair of children per clown
4.9.3 | Řese'o yeirčá kšivo wiole | '24.hour.day'-CSV-DPX-PER RPV-'corrupt'-RTR-OBS 'clown'-N-ERG 'child'-N-ABS | It takes two days for a clown to corrupt a child
4.9.4 | Wellyawá urwale'ö | 'sing.a.song'-RTR-OBS 'hour'-PRO | They sang for an hour
4.9.5 | epssalo'ë | 'present.moment'-PCV | before the present moment
4.9.5 | wucpirwo'ë | 'sixth'-SPT1-4-PCV | prior to Saturday
4.9.6 | ujthädö'e | 'war'-CTE-PRX-PCR | after the war
4.9.6 | welkošmo'e | 'make.music'-FRM1-7-PCR | after the music recital
4.9.7 | wapšorco'e | 'four'-ELA1-7-ELP | four days ago / four days from now
4.9.7 | Iträlawó kši'ţu waçčëizo'e | CPT-'process.of.approaching'-CTE-RTR-CVN 'clown'-MDS-IND 'winter'-XX31-5-ELP | They say the clowns arrived three winters ago
4.9.8 | wapšorco'a | 'four'-ELA1-7-PLM | by the end of four days from now
4.9.8 | iträlo'a kši'ţe | CPT-'process.of.approaching'-CTE-PLM 'clown'-MDS-COR | by the time of the clown's arrival / by the time the clowns arrive
5.1.1 | Švel elasu ukthili'a | 'play'-CSV-[default CA]-MNO-OBS stem2/prc-'child'-DPX-IND stem3/prc-'floor'-OBJ-[default CA]-LOC | Two children are playing on the floor. [the implication being that the two children are not playing with each other nor are they necessarily playing the same game]
5.1.2 | Švelähá elasu ukthili'a | 'play'-CSV-[default CA]-PRL-FAC-OBS stem2/prc-'child'-DPX-IND stem3/prc-'floor'-OBJ-[default CA]-LOC | Two children are playing on the floor. [they are playing the same kind of game but separately from each other]
5.1.3 | Švelehá elasu ukthili'a | 'play'-CSV-[default CA]-CRO-FAC-OBS stem2/prc-'child'-DPX-IND stem3/prc-'floor'-OBJ-[default CA]-LOC | Two children are playing on the floor. [they are playing at the same time, but each is playing a different game]
5.1.4 | Švelihá elasu ukthili'a | 'play'-CSV-[default CA]-RCP-FAC-OBS stem2/prc-'child'-DPX-IND stem3/prc-'floor'-OBJ-[default CA]-LOC | Two children are playing on the floor. [they are playing with another, unnamed party, presumably other children. See NOTE immediately below]
5.1.4 | Šveladřihá elasu ukthili'a | 'play'-CSV-[default CA]-SBS1-1-RCP-FAC-OBS stem2/prc-'child'-DPX-IND stem3/prc-'floor'-OBJ-[default CA]-LOC | Two children are playing on the floor. [they are playing with each other]
5.1.4 | Wioňihá puyuöt | [default CA]-N-'write'-RCP-FAC-OBS MA/BEN-IND+TSP-2M/BEN | You (two) write on each other's behalf.
5.1.4 | Malihá lalecu welü kši'la | 'talk'-[default CA]-RCP-FAC-OBS 'person'-[default CA]-GID1-3-IND [default CA]-stem2/prc-'child-dat'-'clown'-[default CA]-PRN | The man and the child talk to each other about the clown.
5.1.4 | Malihá ňu kši'la | 'talk'-[default CA]-RCP-FAC-OBS PA-NEU-IND 'clown'-[default CA]-PRN | They talk about the clown (with somebody else).
5.1.4 | Malihá ňuxadřa kši'la | 'talk'-[default CA]-RCP-FAC-OBS-PA-NEU-IND-SBS1-1 'clown'-[default CA]-PRN | They talk to each other about the clown.
5.1.4 | Malihá lalecu welü lalecë'iča | 'talk'-[default CA]-RCP-FAC-OBS 'person'-[default CA]-GID1-3-IND [default CA]-stem2/prc-'child-dat'-'person'-[default CA]-GID1-3-SWR1-5-PRN | The man and the child talk to each other about the man. [i.e., the man being talked about is the same man who is talking with the child].
5.1.5 | Švelëihá elasu ukthili'a | 'play'-CSV-[default CA]-CPL-FAC-OBS stem2/prc-'child'-DPX-IND stem3-PRC-'floor'-OBJ-[default CA]-LOC | Two children are playing on the floor. [they are playing a coplementary game/activity with each other, where one performs one half/side of the activity and the other performs the other half]
5.1.6 | Švelöhá wesu ukthili'a | 'play'-CSV-[default CA]-DUP-FAC-OBS [default CA]-stem2/prc-'child'-DPX-IND stem3/prc-'floor'-OBJ-[default CA]-LOC | Two children are playing on the floor. [where one child performs a play activity and the second child then copies/duplicates the same activity]
5.1.7 | Švelohá elasu ukthili'a | 'play'-CSV-[default CA]-DEM-FAC-OBS stem2/prc-'child'-DPX-IND stem3/prc-'floor'-OBJ-[default CA]-LOC | Two children are on the floor and one is showing the other how to play (a game).
5.1.8 | Švelühá elasu ukthili'a | 'play'-CSV-[default CA]-CNG-FAC-OBS stem2/prc-'child'-DPX-IND stem3/prc-'floor'-OBJ-[default CA]-LOC | Two children are playing on the floor and one performs one part of the play activity then the other performs the next part.
5.1.9 | Šveluhá elasu ukthili'a | 'play'-CSV-[default CA]-PTI-FAC-OBS stem2/prc-'child'-DPX-IND stem3/prc-'floor'-OBJ-[default CA]-LOC | Two children are on the floor taking part in the play activity.
5.2.1 | Yuçká elari | PRX-stem3/prc-'suffer.from.illness'-FAC-OBS stem2/prc-'child'-G-AFF | Their kids are ill. [i.e., it is known he has kids and it is known they are ill]
5.2.1 | Hlešvie-galoktähá pra'i | CONCATENATED-[default CA]-stem2/prc-'self-involved.leisure.activity'-PUR-PARENT-'ambulation'-[default CA]-TPP1-7-PRL-FAC-OBS MA/BEN+1M/BEN-ACT | She and I are (planning on) taking a walk later on. [i.e., it is our intention and we have the opportunity to do so]
5.2.1 | Webglá afbalfa umflilacai pei | [default CA]-stem2/prc-'be.inside-out'-FAC-OBS PRC-'article.of.clothing'-ASO MDC-THM stem3/prc-'spouse'-OBJ-[default CA]-GID1-1-POS MA-BEN-GEN | His wife's clothes are inside-out.
5.2.2 | Yuçkahlá elari | PRX-stem3/prc-'suffer.from.illness'-SUB-OBS stem2/prc-'child'-G-AFF | Maybe his kids are ill. [i.e., it is known that he has kids but it is not known whether they are ill]
5.2.2 | Hlešvie-galoktählá pra'i | CONCATENATED-[default CA]-stem2/prc-'self-involved.leisure.activity'-PUR-PARENT-'ambulation'-[default CA]-TPP1-7-PRL-SUB-OBS MA/BEN+1M/BEN-ACT | She and I may take a walk later on. [i.e., it is known that the opportunity to do so will arise, but it is uncertain whether we will choose to]
5.2.2 | Webglahlá afbalfa umflilacai pei | [default CA]-stem2/prc-'be.inside-out'-SUB-OBS PRC-'article.of.clothing'-ASO MDC-THM stem3/prc-'spouse'-OBJ-[default CA]-GID1-1-POS MA-BEN-GEN | His wife's clothes may be inside-out.
5.2.3 | Yuçkahrú elari | PRX-stem3/prc-'suffer.from.illness'-ASM-INF stem2/prc-'child'-G-AFF | His kids'll be ill OR If he has kids they are ill. [i.e., it is unknown whether he has kids, but if he does, they are certainly ill.]
5.2.3 | Hlešvie-galoktährá pra'i | CONCATENATED-[default CA]-stem2/prc-'self-involved.leisure.activity'-PUR-PARENT-'ambulation'-[default CA]-TPP1-7-PRL-ASM-OBS MA/BEN+1M/BEN-ACT | She and I will take a walk later on [i.e., if we can] OR We intend to take a walk. [i.e., but we don't know if we'll be able to]
5.2.3 | Webglahrû afbalfa umflilacai pei | [default CA]-stem2/prc-'be.inside-out'-ASM-ITU PRC-'article.of.clothing'-ASO MDC-THM stem3/prc-'spouse'-OBJ-[default CA]-GID1-1-POS MA-BEN-GEN | If he has a wife her clothes are inside-out.
5.2.4 | Yuçkahmû elari | PRX-stem3/prc-'suffer.from.illness'-SPC-ITU stem2/prc-'child'-G-AFF | Maybe his kids are ill. [i.e., it is unknown if he has kids but if he does, they may be ill]
